,semestre,año,emision total libras,Tesla,Hyundai 39,Hyundai 64,Kia N39,Kia E39
0,2,2024,1822286.762,1814979.3921,1815926.9812,1821607.049,1828234.706,1831073.8287
1,1,2025,1741978.4056,1734993.0722,1735898.9009,1741328.6476,1747664.2231,1750378.2255
2,2,2025,1661670.0492,1655006.7523,1655870.8207,1661050.2463,1667093.7402,1669682.6222
3,1,2026,1581361.6928,1575020.4324,1575842.7405,1580771.8449,1586523.2574,1588987.0189
4,2,2026,1501053.3364,1495034.1125,1495814.6603,1500493.4435,1505952.7745,1508291.4156
5,1,2027,1420744.98,1415047.7926,1415786.58,1420215.0421,1425382.2916,1427595.8123
6,2,2027,1340436.6236,1335061.4728,1335758.4998,1339936.6408,1344811.8088,1346900.209
7,1,2028,1260128.2672,1255075.1529,1255730.4196,1259658.2394,1264241.3259,1266204.6057
8,2,2028,1179819.9108,1175088.833,1175702.3393,1179379.838,1183670.843,1185509.0024
9,1,2029,1099511.5544,1095102.5131,1095674.2591,1099101.4366,1103100.3602,1104813.3992
10,2,2029,1019203.1981,1015116.1932,1015646.1789,1018823.0353,1022529.8773,1024117.7959
11,1,2030,938894.8417,935129.8733,935618.0987,938544.6339,941959.3944,943422.1926
12,2,2030,858586.4853,855143.5535,855590.0184,858266.2325,861388.9116,862726.5893
13,1,2031,778278.1289,775157.2336,775561.9382,777987.8311,780818.4287,782030.986
14,2,2031,697969.7725,695170.9137,695533.858,697709.4298,700247.9458,701335.3827
15,1,2032,617661.4161,615184.5938,615505.7777,617431.0284,619677.463,620639.7794
16,2,2032,537353.0597,535198.2739,535477.6975,537152.627,539106.9801,539944.1762
17,1,2033,457044.7033,455211.954,455449.6173,456874.2256,458536.4972,459248.5729
18,2,2033,376736.3469,375225.6342,375421.5371,376595.8243,377966.0143,378552.9696
19,1,2034,296427.9905,295239.3143,295393.4568,296317.4229,297395.5315,297857.3663
20,2,2034,229504.3602,228584.0477,228703.39,229418.7551,230253.4624,230611.0302
