,semestre,año,costo total comb,Tesla,Hyundai 39,Hyundai 64,Kia N39,Kia E39
0,2,2024,362362.7554,361927.9201,361565.5573,362290.2829,363015.0084,363015.0084
1,1,2025,345233.7028,344819.4224,344474.1887,345164.6561,345855.1235,345855.1235
2,2,2025,328104.6503,327710.9247,327382.8201,328039.0294,328695.2387,328695.2387
3,1,2026,310975.5977,310602.427,310291.4514,310913.4026,311535.3538,311535.3538
4,2,2026,293846.5452,293493.9293,293200.0828,293787.7758,294375.4689,294375.4689
5,1,2027,276717.4926,276385.4316,276108.7141,276662.1491,277215.5841,277215.5841
6,2,2027,259588.44,259276.9339,259017.3455,259536.5223,260055.6992,260055.6992
7,1,2028,242459.3875,242168.4362,241925.9768,242410.8956,242895.8144,242895.8144
8,2,2028,225330.3349,225059.9385,224834.6082,225285.2688,225735.9295,225735.9295
9,1,2029,208201.2823,207951.4408,207743.2395,208159.6421,208576.0447,208576.0447
10,2,2029,191072.2298,190842.9431,190651.8709,191034.0153,191416.1598,191416.1598
11,1,2030,173943.1772,173734.4454,173560.5022,173908.3886,174256.2749,174256.2749
12,2,2030,165378.6509,165180.1966,165014.8179,165345.5752,165676.3325,165676.3325
